;;;;;;;;;;;;;
;;4 PICTURE 1 WORD – ALL LEVELS;;;;;;;;;;;
;;;;;;;;;;;;;
SR.;;EP-1;EP-2;EP-3;EP-4;EP-5;EP-6;EP-7;EP-8;EP-9;EP-10;EP-11;EP-12
;;;;;;;;;;;;;
1;;VEJCE;STUDENÝ;DOMOV;VOUSY;ŠŤÁVA;UDEŘIL;ČERVENÉ;ZIMNÍ;KYSELÝ;NÁPOJ;DRAIN;OBLEČENÍ
2;;PES;HLASITÝ;TĚŽKÝ;NOVÝ;HRDINA;OBLEK;HUDBA;KREV;POKER;JARO;NĚMECKO;POP
3;;KLÍČ;HORKÝ;PODEPSAT;VÍNO;OVOCE;KRESLIT;Fazole;DOPIS;TEČKA;ŘIDIČ;NÁDRŽ;BRADA
4;;VLASY;SLADKÝ;RÁNO;KARTA;DAR;ZLATO;POLIBEK;ŘETĚZ;POCHODEŇ;TRUBKA;DESKA;ZŘÍCENINA
5;;NETOPÝR;SELFIE;POPLACH;MASO;AUTO;PTÁK;LÉTAT;DUCH;ITÁLIE;VĚDA;VLÁKNO;MEDICÍNA
6;;BAZÉN;BOHATÝ;ŠPINAVÝ;MEČ;TLAČIT;VIDLIČKA;RUKA;PODZIM;KORUNA;DOVOLENÁ;KANADA;KOLO
7;;MÍČ;VODA;LANO;VEČÍREK;STARÝ;MATEMATIKA;BÍLÝ;SHELL;OTEC;CESTOVAT;PRAVIDLO;VÝLET
8;;HODINY;PÁR;HOTEL;DÍTĚ;WET;STŮL;HALLOWEEN;SUCHÝ;ZÁPAS;ZÁKON;ODKAZ;VEJÍT SE
9;;ŽLUTÁ;RYBA;MODRÝ;SKÁLA;ZUBY;ŽIDLE;VLNA;SVAL;RAZÍTKO;ANCIENTNÍ;ZÁSTRČKA;KOLO
10;;NAPÍT SE;KVĚT;VLAK;ŠEST;SKLENKA;DĚTI;ZIP;VŮNĚ;HRUĎ;SPIKES;KONFLIKT;SEM
11;;BOX;RYCHLE;SESTRA;STROM;LIST;LŽÍCE;LUK;PROVOZ;LIBRA;VOZIDLO;ALBUM;KÓD
12;;KACHNA;PARK;MOZEK;ZVÍŘE;MĚSÍC;ROZTRHNOUT;ČIP;ÚZKÝ;MASKA;PŘEMÝŠLET;ZÁLOŽKA;DOLŮ
13;;LED;SILNICE;SALÁT;SOCHA;POLICIE;UČITEL;PÍSEK;PORAZIT;HRAD;PRŮVODCE;JEDNOTNÝ;PLNÝ
14;;POHÁR;REZERVOVAT;KOUŘ;MATKA;SIGNÁL;NOC;NALÉZT;INKOUST;RŮŽE;PÁR;PINCH;STÁVKA
15;;SMUTNÝ;OHEŇ;DLAŇ;ÚČTOVAT;ŠTĚSTÍ;PILOT;ODPADKY;ČERNÁ;ZELENÁ;JEWELS;VAKUUM;TIP
16;;MALOVAT;DATUM;HRÁT SI;SVĚTLO;STAN;ZMRZLINA;MĚKKÝ;BAVLNA;SEWER;SLUŽBA;BUBLINA;PLATIT
17;;MOST;HVĚZDA;HOD;OKNO;SILNÝ;OBUV;TAP;BLIKAT;POČASÍ;PŘEJÍT;GAMBLING;PALUBA
18;;PRSTEN;DORT;HRA;STOP;OBRAZOVKA;DOKTOR;RŮŽOVÝ;VYSOKÝ;ŘÁDEK;KLOBÁSA;ŠTÍTEK;BUŇKA
19;;BARVA;TRENÉR;SKOK;FANOUŠEK;MYŠ;HLAVNÍ MĚSTO;KANCELÁŘ;SNÍH;PÁD;KOPÍROVAT;ZVEDÁK;SEZÓNY
20;;METR;VÍTR;UMĚT;OSTROV;ROZZLOBENÝ;JÍZDNÍ KOLO;DŘEZ;ADRESA;SRDCE;UPÍR;SÍŤ;GÓL
