;;;;;;;;;;;;;
;;4 PICTURE 1 WORD – ALL LEVELS;;;;;;;;;;;
;;;;;;;;;;;;;
SR.;;EP-1;EP-2;EP-3;EP-4;EP-5;EP-6;EP-7;EP-8;EP-9;EP-10;EP-11;EP-12
;;;;;;;;;;;;;
1;;EI;KALT;ZUHAUSE;BART;SAFT;SCHLAGEN;ROT;WINTER;SAUER;GETRÄNK;ABLASSEN;KLEIDER
2;;HUND;LAUT;SCHWER;NEU;HELD;PASSEN;MUSIK;BLUT;POKER;FRÜHLING;DEUTSCHLAND;POP
3;;SCHLÜSSEL;HEISS;ZEICHEN;WEIN;OBST;ZEICHNEN;BOHNEN;BRIEF;PUNKT;TREIBER;PANZER;KINN
4;;HAAR;SÜSS;MORGEN;KARTE;GESCHENK;GOLD;KUSS;KETTE;FACKEL;ROHR;TELLER;RUIN
5;;FLEDERMAUS;SELFIE;ALARM;FLEISCH;AUTO;VOGEL;FLIEGEN;GEIST;ITALIEN;WISSENSCHAFT;FADEN;MEDIZIN
6;;SCHWIMMBAD;REICH;SCHMUTZIG;SCHWERT;DRÜCKEN;GABEL;HAND;HERBST;KRONE;URLAUB;KANADA;RUNDEN
7;;BALL;WASSER;SEIL;PARTY;ALT;MATHEMATIK;WEISS;SCHALE;VATER;REISE;REGEL;AUSFLUG
8;;UHR;PAAR;HOTEL;BABY;NASS;TABELLE;HALLOWEEN;TROCKEN;SPIEL;GESETZ;VERKNÜPFUNG;PASSEN
9;;GELB;FISCH;BLAU;ROCK;ZÄHNE;STUHL;WELLE;MUSKEL;BRIEFMARKE;ALT;STECKER;RAD
10;;GETRÄNK;BLUME;ZUG;SECHS;GLAS;KINDER;POSTLEITZAHL;GERUCH;BRUST;SPIKES;KONFLIKT;ZIEHEN
11;;BOX;SCHNELL;SCHWESTER;BAUM;BLATT;LÖFFEL;BOGEN;VERKEHR;PFUND;FAHRZEUG;ALBUM;CODE
12;;ENTE;PARK;GEHIRN;TIER;MOND;REISSEN;CHIP;ENG;MASKE;MEDITIEREN;LESEZEICHEN;NIEDER
13;;EIS;STRASSE;SALAT;STATUE;POLIZEI;LEHRER;SAND;SCHLAGEN;SCHLOSS;FÜHREN;UNIFORM;VOLL
14;;TASSE;BUCH;RAUCH;MUTTER;SIGNAL;NACHT;FINDEN;TINTE;ROSE;PAAR;PRISE;STREIK
15;;TRAURIG;FEUER;PALME;RECHNUNG;GLÜCK;PILOT;MÜLL;SCHWARZ;GRÜN;Juwelen;VAKUUM;SPITZE
16;;FARBE;DATUM;ABSPIELEN;LICHT;ZELT;EIS;WEICH;BAUMWOLLE;KANAL;BEDIENUNG;BLASE;ZAHLEN
17;;BRÜCKE;STAR;WERFEN;FENSTER;STARK;SCHUHE;ZAPFHAHN;BLITZ;WETTER;KREUZ;SPIELEN;DECK
18;;RING;KUCHEN;SPIEL;HALT;BILDSCHIRM;ARZT;ROSA;HOCH;LINIE;WURST;ETIKETT;ZELLE
19;;FARBE;TRAINER;SPRINGEN;VENTILATOR;MAUS;HAUPTSTADT;BÜRO;SCHNEE;ABSTURZ;KOPIEREN;JACK;SEASONS
20;;METER;WIND;KÖNNEN;INSEL;WÜTEND;FAHRRAD;SINKEN;ADRESSE;HERZ;VAMPIR;NETZ;TOR
