;;;;;;;;;;;;;
;;4 PICTURE 1 WORD – ALL LEVELS;;;;;;;;;;;
;;;;;;;;;;;;;
SR.;;EP-1;EP-2;EP-3;EP-4;EP-5;EP-6;EP-7;EP-8;EP-9;EP-10;EP-11;EP-12
;;;;;;;;;;;;;
1;;EGG;COLD;HOME;BEARD;JUICE;HIT;RED;WINTER;SOUR;BEVERAGE;DRAIN;CLOTHES
2;;DOG;LOUD;HEAVY;NEW;HERO;SUIT;MUSIC;BLOOD;POKER;SPRING;GERMANY;POP
3;;KEY;HOT;SIGN;WINE;FRUIT;DRAW;BEANS;LETTER;DOT;DRIVER;TANK;CHIN
4;;HAIR;SWEET;MORNING;CARD;GIFT;GOLD;KISS;CHAIN;TORCH;PIPE;PLATE;RUIN
5;;BAT;SELFIE;ALARM;MEAT;CAR;BIRD;FLY;GHOST;ITALY;SCIENCE;THREAD;MEDICINE
6;;POOL;RICH;DIRTY;SWORD;PUSH;FORK;HAND;AUTUMN;CROWN;VACATION;CANADA;ROUND
7;;BALL;WATER;ROPE;PARTY;OLD;MATH;WHITE;SHELL;FATHER;TRAVEL;RULE;TRIP
8;;CLOCK;PAIR;HOTEL;BABY;WET;TABLE;HALLOWEEN;DRY;MATCH;LAW;LINK;FIT
9;;YELLOW;FISH;BLUE;ROCK;TEETH;CHAIR;WAVE;MUSCLE;STAMP;ANCIENT;PLUG;WHEEL
10;;DRINK;FLOWER;TRAIN;SIX;GLASS;CHILDREN;ZIP;SMELL;CHEST;SPIKES;CONFLICT;PULL
11;;BOX;FAST;NURSE;TREE;LEAF;SPOON;BOW;TRAFFIC;POUND;VEHICLE;ALBUM;CODE
12;;DUCK;PARK;BRAIN;ANIMAL;MOON;TEAR;CHIP;NARROW;MASK;MEDITATE;BOOKMARK;DOWN
13;;ICE;ROAD;SALAD;STATUE;POLICE;TEACHER;SAND;BEAT;CASTLE;GUIDE;UNIFORM;FULL
14;;CUP;BOOK;SMOKE;MOTHER;SIGNAL;NIGHT;FIND;INK;ROSE;COUPLE;PINCH;STRIKE
15;;SAD;FIRE;PALM;BILL;LUCK;PILOT;TRASH;BLACK;GREEN;JEWELS;VACUUM;TIP
16;;PAINT;DATE;PLAY;LIGHT;TENT;ICECREAM;SOFT;COTTON;SEWER;SERVICE;BUBBLE;PAY
17;;BRIDGE;STAR;THROW;WINDOW;STRONG;SHOES;TAP;FLASH;WEATHER;CROSS;GAMBLING;DECK
18;;RING;CAKE;GAME;STOP;SCREEN;DOCTOR;PINK;HIGH;LINE;SAUSAGE;TAG;CELL
19;;COLOR;COACH;JUMP;FAN;MOUSE;CAPITAL;OFFICE;SNOW;CRASH;COPY;JACK;SEASONS
20;;METER;WIND;CAN;ISLAND;ANGRY;BICYCLE;SINK;ADDRESS;HEART;VAMPIRE;NET;GOAL
