;;;;;;;;;;;;;
;;4 PICTURE 1 WORD – ALL LEVELS;;;;;;;;;;;
;;;;;;;;;;;;;
SR.;;EP-1;EP-2;EP-3;EP-4;EP-5;EP-6;EP-7;EP-8;EP-9;EP-10;EP-11;EP-12
;;;;;;;;;;;;;
1;;OEUF;DU FROID;MAISON;BARBE;JUS;FRAPPÉ;ROUGE;HIVER;ACIDE;BOISSON;DRAINER;VÊTEMENTS
2;;CHIEN;BRUYANT;LOURD;NOUVEAU;HÉROS;COSTUME;MUSIQUE;DU SANG;POKER;PRINTEMPS;ALLEMAGNE;POP
3;;CLÉ;CHAUD;SIGNE;DU VIN;FRUIT;DESSINER;HARICOTS;LETTRE;POINT;CHAUFFEUR;RÉSERVOIR;MENTON
4;;CHEVEUX;SUCRÉ;MATIN;CARTE;CADEAU;OR;BAISER;CHAÎNE;TORCHE;TUYAU;ASSIETTE;SE RUINER
5;;BATTE;SELFIE;ALARME;MOI À;VOITURE;OISEAU;VOLER;FANTÔME;ITALIE;SCIENCE;FIL;MÉDICAMENT
6;;BASSIN;RICHES;SALE;ÉPÉE;POUSSER;FOURCHETTE;MAIN;LAUTOMNE;COURONNE;VACANCES;CANADA;ROND
7;;BALLON;EAU;CORDE;FÊTE;VIEUX;MATH;BLANC;COQUILLE;PÈRE;VOYAGE;RÈGLE;VOYAGE
8;;L'HORLOGE;PAIRE;UN HÔTEL;BÉBÉ;HUMIDE;TABLE;HALLOWEEN;SEC;RENCONTRE;LOI;LIEN;EN FORME
9;;JAUNE;POISSON;BLEU;ROCHE;LESDENTS;CHAISE;VAGUE;MUSCLE;TIMBRE;ANCIEN;FICHE;ROUE
10;;BOISSON;FLEUR;TRAIN;SIX;VERRE;ENFANTS;ZIP;ODEUR;POITRINE;POINTES;CONFLIT;TIREZ
11;;BOÎTE;VITE;INFIRMIÈRE;ARBRE;FEUILLE;CUILLÈRE;ARC;TRAFIC;LIVRE;VÉHICULE;ALBUM;CODE
12;;CANARD;PARC;CERVEAU;ANIMAL;LUNE;DÉCHIRER;PUCE;ÉTROIT;MASQUE;MÉDITER;SIGNET;BAS
13;;LA GLACE;ROUTE;SALADE;STATUE;POLICE;PROF;LE SABLE;BATTRE;CHÂTEAU;GUIDER;UNIFORME;PLEIN
14;;TASSE;LIVRE;FUMÉE;MÈRE;SIGNAL;NUIT;TROUVER;ENCRE;ROSE;COUPLE;PINCER;LA GRÈVE
15;;TRISTE;FEU;PAUME;FACTURE;LACHANCE;PILOTE;POUBELLE;NOIR;VERT;BIJOUX;VIDE;POINTE
16;;PEINDRE;DATER;JOUER;LUMIÈRE;TENTE;GLACE;DOUX;COTON;ÉGOUT;UN SERVICE;BULLE;PAYER
17;;PONT;ÉTOILE;JETER;LAFENÊTRE;FORT;CHAUSSURES;ROBINET;FLASH;MÉTÉO;TRAVERSER;GAMBLING;PLATEFORME
18;;BAGUE;GÂTEAU;JEU;ARRÊTEZ;ÉCRAN;MÉDECIN;ROSE;HAUTE;LIGNE;SAUCISSE;ÉTIQUETTE;CELLULE
19;;COULEUR;ENTRAÎNEUR;SAUT;VENTILATEUR;SOURIS;CAPITALE;BUREAU;NEIGE;CRASH;COPIE;JACK;SAISONS
20;;MÈTRE;VENT;POUVEZ;ÎLE;FÂCHÉ;VÉLO;SINK;ADRESSE;CŒUR;VAMPIRE;NET;OBJECTIF
