;;;;;;;;;;;;;
;;4 PICTURE 1 WORD – ALL LEVELS;;;;;;;;;;;
;;;;;;;;;;;;;
SR.;;EP-1;EP-2;EP-3;EP-4;EP-5;EP-6;EP-7;EP-8;EP-9;EP-10;EP-11;EP-12
;;;;;;;;;;;;;
1;;UOVO;FREDDO;CASA;BARBA;SUCCO;COLPIRE;ROSSO;INVERNO;SOUR;BEVERAGE;SCARICO;ABITI
2;;CANE;FORTE;PESANTE;NUOVO;EROE;SUIT;MUSICA;SANGUE;POKER;PRIMAVERA;GERMANIA;POP
3;;CHIAVE;CALDO;CARTELLO;VINO;FRUTTA;DISEGNARE;FAGIOLI;LETTERA;PUNTO;DRIVER;SERBATOIO;MENTO
4;;CAPELLI;DOLCE;MATTINA;CARTA;REGALO;ORO;BACIO;CATENA;TORCIA;TUBO;PIATTO;ROVINARE
5;;BAT;AUTOSCATTO;ALLARME;CARNE;AUTO;UCCELLO;VOLARE;FANTASMA;ITALIA;SCIENZA;FILO;MEDICINA
6;;PISCINA;RICCO;SPORCO;SPADA;SPINGERE;FORCHETTA;MANO;AUTUNNO;CORONA;VACANZA;CANADA;IL GIRO
7;;PALLA;ACQUA;CORDA;FESTA;VECCHIO;MATEMATICA;BIANCA;CONCHIGLIA;PADRE;VIAGGIO;REGOLA;VIAGGIO
8;;OROLOGIO;PAIO;HOTEL;BAMBINO;BAGNATO;TAVOLO;HALLOWEEN;ASCIUTTO;INCONTRO;LEGGE;LINK;IN FORMA
9;;GIALLO;PESCE;BLU;ROCCIA;DENTI;SEDIA;ONDA;MUSCOLO;STAMP;ANTICO;SPINA;RUOTA
10;;BERE;FIORE;TRENO;SEI;BICCHIERE;BAMBINI;ZIP;ODORE;IL PETTO;PUNTI;CONFLITTO;TIRARE
11;;SCATOLA;VELOCE;INFERMIERA;ALBERO;FOGLIA;CUCCHIAIO;ARCO;TRAFFICO;LIBBRA;VEICOLO;ALBUM;CODICE
12;;ANATRA;PARCO;CERVELLO;ANIMALE;LUNA;LACRIMA;CHIP;STRETTO;MASCHERA;MEDITARE;SEGNALIBRO;GIÙ
13;;GHIACCIO;STRADA;INSALATA;STATUA;POLIZIA;INSEGNANTE;SABBIA;BATTERE;CASTELLO;GUIDA;UNIFORME;PIENO
14;;TAZZA;LIBRO;FUMO;MADRE;SEGNALE;NOTTE;TROVA;INCHIOSTRO;ROSA;COPPIA;PIZZICO;SCIOPERO
15;;TRISTE;FUOCO;PALMA;CONTO;FORTUNA;PILOTA;SPAZZATURA;NERO;VERDE;GIOIELLI;VUOTO;MANCIA
16;;DIPINGERE;DATA;GIOCARE;LUCE;TENDA;GELATO;SOFT;COTONE;FOGNA;SERVIZIO;BOLLA;PAGARE
17;;PONTE;STELLA;GETTARE;FINESTRA;FORTE;SCARPE;RUBINETTO;VELOCE;TEMPO;CROSS;GAMBLE;DECK
18;;SQUILLARE;TORTA;GIOCO;STOP;SCHERMO;MEDICO;ROSA;ALTA;LINEA;SALSICCIA;ETICHETTA;CELLULA
19;;COLORE;ALLENATORE;SALTARE;FAN;TOPO;CAPITALE;UFFICIO;LA NEVE;CRASH;COPIA;JACK;LE STAGIONI
20;;METER;VENTO;PUÒ;ISOLA;ARRABBIATO;BICICLETTA;LAVELLO;INDIRIZZO;CUORE;VAMPIRO;NETTO;OBBIETTIVO
