;;;;;;;;;;;;;
;;4 PICTURE 1 WORD – ALL LEVELS;;;;;;;;;;;
;;;;;;;;;;;;;
SR.;;EP-1;EP-2;EP-3;EP-4;EP-5;EP-6;EP-7;EP-8;EP-9;EP-10;EP-11;EP-12
;;;;;;;;;;;;;
1;;JAJKO;ZIMNO;DOM;BRODA;SOK;TRAFIENIE;CZERWONY;ZIMOWY;KWAŚNY;NAPÓJ;DRENAŻ;UBRANIE
2;;PIES;GŁOŚNY;CIĘŻKI;NOWY;BOHATER;GARNITUR;MUZYKA;KREW;POKER;WIOSNA;NIEMCY;MUZYKA POP
3;;KLAWISZ;GORĄCO;ZNAK;WINO;OWOC;RYSOWAĆ;FASOLKI;LIST;KROPKA;KIEROWCA;ZBIORNIK;BRODA
4;;WŁOSY;SŁODKIE;RANEK;KARTA;PREZENT;ZŁOTO;POCAŁUNEK;ŁAŃCUCH;POCHODNIA;RURA;PŁYTA;RUINA
5;;NIETOPERZ;SELFIE;ALARM;MIĘSO;SAMOCHÓD;PTAK;LATAĆ;DUCH;WŁOCHY;NAUKA;WĄTEK;LEKARSTWO
6;;BASEN;BOGATY;BRUDNY;MIECZ;PCHAĆ;WIDELEC;DŁOŃ;JESIEŃ;KORONA;WAKACJE;KANADA;OKRĄGŁY
7;;PIŁKA;WODA;LINA;PRZYJĘCIE;STARY;MATH;BIAŁY;MUSZLA;OJCIEC;PODRÓŻOWAĆ;REGUŁA;WYCIECZKA
8;;ZEGAR;PARA;HOTEL;NIEMOWLĘ;MOKRO;STÓŁ;HALLOWEEN;SUCHY;MECZ;PRAWO;POŁĄCZYĆ;ZDATNY
9;;ŻÓŁTY;RYBA;NIEBIESKI;SKAŁA;ZĘBY;KRZESŁO;FALA;MIĘSIEŃ;PIECZĘĆ;STAROŻYTNY;WTYCZKA;KOŁO
10;;DRINK;KWIAT;POCIĄG;SZEŚĆ;SZKŁO;DZIECI;ZIP;ZAPACH;SKRZYNIA;SPIKES;KONFLIKT;CIĄGNĄĆ
11;;PUDEŁKO;SZYBKI;NIAŃKA;DRZEWO;LIŚĆ;ŁYŻKA;ŁUK;KUPCZYĆ;FUNT;POJAZD;ALBUM;KOD
12;;KACZKA;PARK;MÓZG;ZWIERZĘ;KSIĘŻYC;ŁZA;ŻETON;WĄSKI;MASKA;MEDYTOWAĆ;ZAKŁADKA;PUCH
13;;LÓD;DROGA;SAŁATKA;STATUA;POLICJA;NAUCZYCIEL;PIASEK;BIĆ;ZAMEK;PRZEWODNIK;MUNDUR;PEŁNY
14;;PUCHAR;KSIĄŻKA;PALIĆ;MATKA;SYGNAŁ;NOC;ODNALEŹĆ;ATRAMENT;RÓŻA;PARA;SZCZYPTA;STRAJK
15;;SMUTNY;OGIEŃ;PALMA;RACHUNEK;SZCZĘŚCIE;PILOT;ŚMIECI;CZARNY;ZIELONY;JEWELS;ODKURZAĆ;WSKAZÓWKA
16;;FARBA;DATA;GRAĆ;ŚWIATŁO;NAMIOT;LODY;MIĘKKI;BAWEŁNA;KANALIZOWAĆ;USŁUGA;BAŃKA;ZAPŁACIĆ
17;;MOST;GWIAZDA;RZUCAĆ;OKNO;SILNY;BUTY;KRAN;MIGAĆ;POGODA;KRZYŻ;HAZARD;POKŁAD
18;;PIERŚCIEŃ;CIASTO;GRA;ZATRZYMAĆ;EKRAN;LEKARZ;RÓŻOWY;WYSOKI;LINIA;KIEŁBASA;ETYKIETKA;KOMÓRKA
19;;KOLOR;TRENER;SKOK;MIŁOŚNIK;MYSZ;KAPITAŁ;GABINET;ŚNIEG;WYPADEK;KOPIUJ;JACEK;SEASONS
20;;METR;WIATR;MOGĄ;WYSPA;ZŁY;ROWER;TONĄĆ;ADRES;SERCE;WAMPIR;NETTO;CEL
