;;;;;;;;;;;;;
;;4 PICTURE 1 WORD – ALL LEVELS;;;;;;;;;;;
;;;;;;;;;;;;;
SR.;;EP-1;EP-2;EP-3;EP-4;EP-5;EP-6;EP-7;EP-8;EP-9;EP-10;EP-11;EP-12
;;;;;;;;;;;;;
1;;HUEVO;FRÍO;CASA;BARBA;JUGO;GOLPEAR;ROJO;INVIERNO;SOUR;BEBIDA;DESAGÜE;ROPA
2;;PERRO;RUIDOSO;PESADO;NUEVO;HÉROE;TRAJE;MÚSICA;SANGRE;POKER;PRIMAVERA;ALEMANIA;POPULAR
3;;LLAVE;CALIENTE;FIRMAR;VINO;FRUTA;DIBUJAR;FRIJOLES;CARTA;DOT;CONDUCTOR;TANQUE;BARBILLA
4;;PELO;DULCE;MAÑANA;TARJETA;REGALO;ORO;BESO;CADENA;TORCH;TUBO;PLATO;RUINA
5;;MURCIÉLAGO;SELFIE;ALARMA;CARNE;COCHE;PÁJARO;VOLAR;FANTASMA;ITALY;CIENCIA;HILO;MEDICINA
6;;PISCINA;RICO;SUCIO;ESPADA;EMPUJAR;TENEDOR;MANO;OTOÑO;CROWN;VACACIONES;CANADÁ;REDONDO
7;;BOLA;AGUA;CUERDA;PARTIDO;ANTIGUO;MATES;BLANCO;CÁSCARA;FATHER;VIAJE;REGLA;VIAJE
8;;RELOJ;PAR;HOTEL;BEBÉ;MOJADO;MESA;HALLOWEEN;SECO;MATCH;LEY;ENLAZAR;AJUSTE
9;;AMARILLO;PEZ;AZUL;ROCK;DIENTES;SILLA;OLA;MÚSCULO;STAMP;ANTIGUO;ENCHUFE;RUEDA
10;;BEBER;FLOR;ENTRENAR;SEIS;VASO;NIÑOS;CREMALLERA;OLER;CHEST;ESPIGA;CONFLICTO;HALAR
11;;CAJA;RÁPIDO;ENFERMERA;ÁRBOL;HOJA;CUCHARA;ARCO;TRÁFICO;POUND;VEHÍCULO;ÁLBUM;CÓDIGO
12;;PATO;PARQUE;CEREBRO;ANIMAL;LUNA;LÁGRIMA;CHIP;ESTRECHO;MASK;MEDITAR;MARCADOR;ABAJO
13;;HIELO;LACARRETERA;ENSALADA;ESTATUA;POLICÍA;PROFESOR;ARENA;GOLPEAR;CASTLE;GUÍA;UNIFORME;COMPLETO
14;;VASO;LIBRO;FUMAR;MADRE;SEÑAL;NOCHE;ENCONTRAR;TINTA;ROSE;PAREJA;PELLIZCO;HUELGA
15;;TRISTE;FUEGO;PALMA;CUENTA;SUERTE;PILOTO;BASURA;NEGRO;GREEN;JOYAS;VACÍO;PROPINA
16;;PINTAR;FECHA;JUGAR;LIGERO;TIENDA;HELADO;SUAVE;ALGODÓN;SEWER;SERVICIO;BURBUJA;PAGA
17;;PUENTE;ESTRELLA;LANZAR;VENTANA;FUERTE;ZAPATOS;GRIFO;DESTELLO;WEATHER;CRUZAR;JUEGO;CUBIERTA
18;;ANILLO;PASTEL;JUEGO;DETENER;PANTALLA;DOCTOR;ROSADO;ALTO;LINE;CHORIZO;ETIQUETA;CÉLULA
19;;COLOR;ENTRENADOR;SALTAR;VENTILADOR;RATÓN;CAPITAL;OFICINA;NIEVE;CRASH;DUPDO;JACK;ESTACIONES
20;;METRO;VIENTO;PUEDE;ISLA;ENOJADO;BICICLETA;LAVABO;DIRECCIÓN;HEART;VAMPIRO;RED;GOL
