;;;;;;;;;;;;;
;;4 PICTURE 1 WORD – ALL LEVELS;;;;;;;;;;;
;;;;;;;;;;;;;
SR.;;EP-1;EP-2;EP-3;EP-4;EP-5;EP-6;EP-7;EP-8;EP-9;EP-10;EP-11;EP-12
;;;;;;;;;;;;;
1;;ÄGG;KALL;HEM;SKÄGG;JUICE;TRÄFFA;RÖD;VINTER;SUR;DRYCK;DRÄNERA;KLÄDER
2;;HUND;HÖGT;TUNG;NY;HJÄLTE;KOSTYM;MUSIK;BLOD;POKER;VÅR;TYSKLAND;POP
3;;NYCKEL;VARM;SKYLT;VIN;FRUKT;DRA;BEANS;BREV;PUNKT;FÖRARE;TANK;HAKA
4;;HÅR;LJUV;MORGON;KORT;GÅVA;GULD;KYSS;KEDJA;FICKLAMPA;RÖR;TALLRIK;RUIN
5;;SLAGTRÄ;SELFIE;LARM;KÖTT;BIL;FÅGEL;FLYGA;SPÖKE;ITALIEN;VETENSKAP;TRÅD;MEDICIN
6;;PÖL;RIK;SMUTSIG;SVÄRD;TRYCK;GAFFEL;HAND;HÖST;KRONA;SEMESTER;KANADA;RUNDA
7;;BOLL;VATTEN;REP;FEST;GAMMAL;MATEMATIK;VIT;SKAL;FAR;RESA;REGEL;RESA
8;;KLOCKA;PAR;HOTELL;BEBIS;VÅT;TABELL;HALLOWEEN;TORR;MATCH;LAG;LÄNK;PASSA
9;;GUL;FISK;BLÅ;STEN;TÄNDER;STOL;VÅG;MUSKEL;STÄMPEL;GAMMAL;PLUGG;HJUL
10;;DRYCK;BLOMMA;TÅG;SEX;GLAS;BARN;blixtlås;LUKT;BRÖST;SPIKES;KONFLIKT;DRA
11;;LÅDA;SNABB;AMMA;TRÄD;BLAD;SKED;ROSETT;TRAFIK;PUND;FORDON;ALBUM;KODA
12;;ANKA;PARKERA;HJÄRNA;DJUR;MÅNE;RIVA;CHIP;SMAL;MASK;MEDITERA;BOKMÄRKE;NER
13;;IS;VÄG;SALLAD;STATY;POLIS;LÄRARE;SAND;SLÅ;SLOTT;GUIDE;ENHETLIG;FULL
14;;KOPP;BOK;RÖK;MOR;SIGNAL;NATT;HITTA;BLÄCK;RESTE SIG;PAR;NYPA;STREJK
15;;LEDSEN;BRAND;PALM;RÄKNINGEN;TUR;PILOT;SKRÄP;SVART;GRÖN;JEWELS;VAKUUM;TIPS
16;;MÅLA;DATUM;SPELA;LJUS;TÄLT;GLASS;MJUK;BOMULL;AVLOPP;SERVICE;BUBBLA;BETALA
17;;BRO;STJÄRNA;KASTA;FÖNSTER;STARK;SKOR;KRAN;BLIXT;VÄDER;KORSA;HASARDSPEL;DÄCK
18;;RINGA;KAKA;SPEL;SLUTA;SKÄRM;LÄKARE;ROSA;HÖG;LINJE;KORV;MÄRKA;CELL
19;;FÄRG;TRÄNARE;HOPPA;FLÄKT;MUS;KAPITAL;KONTOR;SNÖ;KRASCHA;KOPIA;JACK;SÄSONGER
20;;METER;VIND;KAN;Ö;ARG;CYKEL;SJUNKA;ADRESS;HJÄRTA;VAMPYR;NETTO;MÅL
